Use Case Name,lda_t0,lda_t1,lda_t2,lda_t3,lda_t4,lda_t5,lda_t6,lda_t7,lda_t8,lda_t9,lda_t10,lda_t11,lda_t12,lda_t13,lda_t14,lda_t15,lda_t16,lda_t17,lda_t18,lda_t19,lda_t20,lda_t21,lda_t22,lda_t23,lda_t24,lda_t25,lda_t26,lda_t27,lda_t28,lda_t29,lda_t30,lda_t31,lda_t32,lda_t33,lda_t34,lda_t35,lda_t36,lda_t37,lda_t38,lda_t39,lda_dom_t_0,lda_dom_t_1,lda_dom_t_2,lda_dom_t_3,lda_dom_t_4,lda_dom_t_5,lda_dom_t_6,lda_dom_t_7,lda_dom_t_8,lda_dom_t_9,lda_dom_t_10,lda_dom_t_11,lda_dom_t_12,lda_dom_t_13,lda_dom_t_14,lda_dom_t_15,lda_dom_t_16,lda_dom_t_17,lda_dom_t_18,lda_dom_t_19,lda_dom_t_20,lda_dom_t_21,lda_dom_t_22,lda_dom_t_23,lda_dom_t_24,lda_dom_t_25,lda_dom_t_26,lda_dom_t_27,lda_dom_t_28,lda_dom_t_29,lda_dom_t_30,lda_dom_t_31,lda_dom_t_32,lda_dom_t_33,lda_dom_t_34,lda_dom_t_35,lda_dom_t_36,lda_dom_t_37,lda_dom_t_38,lda_dom_t_39
Anomaly Detection COV Structure,0.0004447943647392094,0.00047479054774157703,0.00037326806341297925,0.0005543438019230962,0.00048804827383719385,0.8653764128684998,0.00042891496559605,0.0003955331339966506,0.00048002967378124595,0.0004432500572875142,0.0006187895778566599,0.00043289430323056877,0.0004513297462835908,0.0004072094743605703,0.0004562673275358975,0.0005163091118447483,0.00043111646664328873,0.0006208320846781135,0.00033349645673297346,0.00037266657454892993,0.00040669081499800086,0.00045355031033977866,0.00036287360126152635,0.0005793534219264984,0.0004527281562332064,0.00037632585735991597,0.0004796014109160751,0.0003781311388593167,0.0005618767463602126,0.0003956210857722908,0.00046512478729709983,0.00043707460281439126,0.00042543027666397393,0.0005006868741475046,0.0006193252629600465,0.0004965829430148005,0.00044371859985403717,0.11708232760429382,0.0005947935278527439,0.00038771258550696075,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anomaly Detection Homogenous Cargo,0.00047898999764584005,0.0005112922517582774,0.0004019647603854537,0.0005969615303911269,0.00052556925220415,0.9073298573493958,0.0004618897510226816,0.00042594154365360737,0.0005169341457076371,0.00047732694656588137,0.000666361884213984,0.0004661750281229615,0.000486027798615396,0.0004385155625641346,0.0004913449520245194,0.0005560027784667909,0.00046426051994785666,0.0006685614353045821,0.0003591355343814939,0.00040131702553480864,0.0004379570309538394,0.0004884190857410431,0.0003907711652573198,0.0006238939240574837,0.0004875337181147188,0.00040525762597098947,0.0005164729664102197,0.00040720170363783836,0.0006050735828466713,0.00042603627662174404,0.0005008833832107484,0.0004706767213065177,0.00045813716133125126,0.0005391794838942587,0.0006669387803412974,0.0005347600672394037,0.00047783151967450976,0.07378026098012924,0.0006405210006050766,0.00041751976823434234,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anomaly Detection POV Structure,0.0004295386024750769,0.000458505965070799,0.0003604655503295362,0.0005353306769393384,0.0004713089729193598,0.8258550763130188,0.0004142038233112544,0.0003819669655058533,0.00046356540406122804,0.00042804726399481297,0.0005975660751573741,0.0004180466930847615,0.00043584982631728053,0.0003932428080588579,0.0004406180523801595,0.0004986005369573832,0.0004163298581261188,0.0005995384999550879,0.0003220580401830375,0.0003598846960812807,0.00039274193113669753,0.0004379942256491631,0.0003504276101011783,0.0005594824906438589,0.020828235894441605,0.00036341845407150686,0.0004631518095266074,0.00036516180261969566,0.00054260523756966,0.00038205189048312604,0.00044917172635905445,0.0004220836271997541,0.0004108386638108641,0.0004835140716750175,0.0005980833666399121,0.0004795509157702327,0.0004284997412469238,0.11278865486383438,0.024599935859441757,0.0003744146379176527,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CBP Careers Bot - Leo,0.0004371464310679585,0.00046662683598697186,0.0003668499703053385,0.0893290564417839,0.00047965662088245153,0.00046625983668491244,0.0004215400549583137,0.00038873220910318196,0.0004717758856713772,0.05649028345942497,0.000608149915933609,0.00042545096948742867,0.00044356941361911595,0.0004002077621407807,0.0004484221281018108,0.0005074315122328699,0.03678326681256294,0.0006101573235355318,0.0003277622163295746,0.07815250009298325,0.12349814176559448,0.00044575182255357504,0.0003566342347767204,0.3238338828086853,0.00044494381290860474,0.0003698551736306399,0.0004713549860753119,0.06250102072954178,0.0005522156716324389,0.00038881864747963846,0.00045712728751823306,0.0004295594117138535,0.04541051387786865,0.0004920779028907418,0.16996023058891296,0.0004880445485468954,0.0004360891762189567,0.00047321763122454286,0.0005845664418302476,0.00038104612031020224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Computer Vision for Aerial Detection of Land and Open Water Items of Interest,0.0007780485902912915,0.0008305188384838402,0.0006529325037263334,0.0009696759516373277,0.0008537097019143403,0.0008298656321130693,0.000750271778088063,0.0006918792496435344,0.0008396832854487002,0.058827079832553864,0.0010824066121131182,0.0007572325994260609,0.0007894804584793746,0.0007123038521967828,0.0007981174276210368,0.0009031444787979126,0.000754122796934098,0.0010859793983399868,0.0005833627074025571,0.0006518803420476615,0.0007113966275937855,0.0007933647721074522,0.0006347501766867936,0.0010134236654266715,0.0007919266354292631,0.0006582812638953328,0.0008389341528527439,0.8048269152641296,0.0009828528854995966,0.0006920330924913287,0.0008136112010106444,0.0007645449368283153,0.0007441762718372047,0.0008758174953982234,0.10651043057441711,0.0008686388609930873,0.0007761668530292809,0.0008422493701800704,0.0010404319036751986,0.0006781992851756513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AI for Software Delivery,0.03170569986104965,0.00046659799409098923,0.0003668272984214127,0.2731279730796814,0.0004796269640792161,0.08904824405908585,0.00042151397792622447,0.08065749704837799,0.00047174672363325953,0.00043560174526646733,0.0006081123137846589,0.11596695333719254,0.04118674248456955,0.00040018302388489246,0.04858629032969475,0.13173995912075043,0.0004236775275785476,0.07015050202608109,0.04097095876932144,0.000366236170521006,0.0003996733285021037,0.0004457242612261325,0.00035661220317706466,0.0005693566636182368,0.00044491628068499267,0.0003698323271237314,0.0004713258531410247,0.03915264084935188,0.0005521815037354827,0.0003887946077156812,0.00045709902769885957,0.0004295328399166465,0.000418089417507872,0.0004920474602840841,0.0006086387438699603,0.00048801436787471175,0.0004360621969681233,0.00047318838187493384,0.02508431300520897,0.00038102257531136274,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Optical Counter - UAS Detection,0.0008031304460018873,0.07647701352834702,0.0006739809759892523,0.001000935328193009,0.000881230691447854,0.10623852163553238,0.000774458225350827,0.0007141832611523569,0.0008667520596645772,0.0008003420080058277,0.001117300009354949,0.0007816433790139854,0.0008149308850988746,0.0007352663087658584,0.0008238462614826858,0.0009322590194642544,0.0007784333429299295,0.0011209880467504263,0.0006021684966981411,0.0006728949374519289,0.0007343298057094216,0.000818940345197916,0.0006552124978043139,0.0010460932971909642,0.0008174558752216399,0.0006795022054575384,0.0008659788290970027,0.786282479763031,0.0010145369451493025,0.0007143421098589897,0.0008398395148105919,0.0007891915156506002,0.0007681662100367248,0.0009040511213243008,0.001118267304264009,0.0008966410532593727,0.0008011880563572049,0.0008694008574821055,0.001073972205631435,0.0007000623154453933,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Thermal Power Generation with Geoseismic IoI Detection and Classification,0.0007545920670963824,0.031091101467609406,0.0006332479533739388,0.0009404423180967569,0.0008279721951112151,0.0008048469899222255,0.000727652688510716,0.0006710205343551934,0.0008143686573021114,0.0007519721402786672,0.001049774349667132,0.02711765095591545,0.0007656792877241969,0.0006908294162712991,0.0007740558939985931,0.0008759165648370981,0.0007313875830732286,0.0010532394517213106,0.0005657755536958575,0.0006322275148704648,0.0006899494910612702,0.0007694464875385165,0.0006156137678772211,0.0009828710462898016,0.000768051715567708,0.0006384354783222079,0.0008136421092785895,0.17478138208389282,0.0009532219264656305,0.0006711697787977755,0.0007890825509093702,0.13162066042423248,0.11538084596395493,0.0008494134526699781,0.30005648732185364,0.19410955905914307,0.0007527670823037624,0.0008168573258444667,0.001009065075777471,0.0006577530293725431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Underwater ROV,0.0009573769057169557,0.0010219407267868519,0.0008034234051592648,0.001193171483464539,0.09170225262641907,0.0010211369954049587,0.0009231979493051767,0.000851346820127219,0.0010332174133509398,0.0009540528990328312,0.0013318847632035613,0.0009317630901932716,0.0009714436600916088,0.000876479025464505,0.0009820712730288506,0.0011113054351881146,0.0009279365185648203,0.0013362810714170337,0.0007178188534453511,0.0008021288085728884,0.0008753626607358456,0.0009762232075445354,0.000781050359364599,0.0012470022775232792,0.052957743406295776,0.0008100050035864115,0.001032295636832714,0.40750277042388916,0.0012093853438273072,0.0008515361696481705,0.0010011361446231604,0.2501491606235504,0.1625702679157257,0.0010776800336316228,0.0013330377405509353,0.0010688467882573605,0.0009550614049658179,0.0010363749461248517,0.001280235475860536,0.0008345138630829751,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Wellness and Physical Fitness Application ,0.21711939573287964,0.0005911205080337822,0.029129011556506157,0.13771070539951324,0.0006076266290619969,0.09280271828174591,0.1316862851381302,0.0004924440290778875,0.0005976433167234063,0.0005518522229976952,0.0007704012678004801,0.0005389591678977013,0.0005619114963337779,0.0005069812177680433,0.0005680588656105101,0.0006428117048926651,0.0005367457633838058,0.0007729441858828068,0.00041520752711221576,0.034479524940252304,0.0005063354619778693,0.06577190011739731,0.0004517824563663453,0.0007213027565740049,0.0005636525456793606,0.00046853069216012955,0.02347474731504917,0.00047077826457098126,0.02642742171883583,0.0004925535176880658,0.04212462902069092,0.14220517873764038,0.04085103049874306,0.0006233617896214128,0.0007710682111792266,0.0006182523793540895,0.00055243558017537,0.0005994696984998882,0.0007405258365906775,0.0004827073134947568,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
