DocIndex,lda_topic,lda_topic_prob,lda_topic_name
123,34,0.1547623574733734,Learning Machine Outputs
124,34,0.23279768228530884,Learning Machine Outputs
125,17,0.27588674426078796,FAA Development Operational
126,23,0.16855007410049438,Search User Document
127,31,0.30651789903640747,Analytics Department Operations
128,20,0.31608331203460693,Enterprise Internal Language
129,14,0.2870649993419647,Risk Health Factors
130,39,0.6770687699317932,Editor Test Synthetic
131,34,0.15400353074073792,Learning Machine Outputs
132,14,0.18607617914676666,Risk Health Factors
133,31,0.25001993775367737,Analytics Department Operations
134,18,0.3084268271923065,Topics Prohibited North
135,26,0.17785826325416565,Events Similar Communications
136,23,0.22555378079414368,Search User Document
137,7,0.2697904407978058,Insights Enhance Decision
138,19,0.26233965158462524,Taxonomy Human Multiple
139,19,0.5004153847694397,Taxonomy Human Multiple
140,32,0.2743334472179413,Correct Time Activity
141,32,0.5481154322624207,Correct Time Activity
142,31,0.403789222240448,Analytics Department Operations
143,19,0.2753871977329254,Taxonomy Human Multiple
144,18,0.24146023392677307,Topics Prohibited North
145,3,0.3138120174407959,Research Text Development
146,11,0.27785250544548035,Process Certification Network
147,8,0.1915726661682129,Provides External Capabilities
148,14,0.3988083004951477,Risk Health Factors
149,35,0.22678107023239136,Advanced Match Platform
150,11,0.3270401954650879,Process Certification Network
151,11,0.33332258462905884,Process Certification Network
152,29,0.2853732705116272,Aircraft Assisted Research
153,23,0.25731074810028076,Search User Document
154,17,0.22854457795619965,FAA Development Operational
155,5,0.2213834822177887,Detection Time Identify
156,8,0.32199209928512573,Provides External Capabilities
157,34,0.17962370812892914,Learning Machine Outputs
158,37,0.1770336925983429,Translation Language Metric
159,35,0.28712108731269836,Advanced Match Platform
160,20,0.8343387842178345,Enterprise Internal Language
161,34,0.3417278528213501,Learning Machine Outputs
162,5,0.3027814030647278,Detection Time Identify
163,32,0.5621411204338074,Correct Time Activity
164,32,0.46704092621803284,Correct Time Activity
165,37,0.3055640161037445,Translation Language Metric
166,20,0.9178137183189392,Enterprise Internal Language
167,20,0.8771215081214905,Enterprise Internal Language
168,32,0.6061524152755737,Correct Time Activity
169,35,0.4249701201915741,Advanced Match Platform
170,16,0.33243775367736816,Reports Narratives Surface
171,16,0.35967013239860535,Reports Narratives Surface
172,34,0.25677528977394104,Learning Machine Outputs
173,5,0.49071699380874634,Detection Time Identify
174,18,0.4749222695827484,Topics Prohibited North
175,17,0.16622912883758545,FAA Development Operational
176,34,0.48766326904296875,Learning Machine Outputs
177,32,0.264687180519104,Correct Time Activity
178,8,0.4586060047149658,Provides External Capabilities
179,12,0.25495409965515137,Training Access Environment
180,2,0.46256202459335327,Research Group Activities
181,32,0.2222495824098587,Correct Time Activity
182,5,0.24136056005954742,Detection Time Identify
183,15,0.29058417677879333,Code Snippets Generative
184,14,0.2373083382844925,Risk Health Factors
185,32,0.5041653513908386,Correct Time Activity
186,33,0.290807843208313,Track Description Policy
187,30,0.26302722096443176,Procurement Equipment Tool
188,10,0.33957597613334656,Financial Policy Copilot
189,32,0.6047259569168091,Correct Time Activity
190,35,0.6450936794281006,Advanced Match Platform
191,4,0.22923235595226288,Image Images Time
192,32,0.7773730754852295,Correct Time Activity
193,35,0.5019376277923584,Advanced Match Platform
194,35,0.3185831606388092,Advanced Match Platform
195,5,0.23188108205795288,Detection Time Identify
196,35,0.2517037093639374,Advanced Match Platform
197,32,0.26025083661079407,Correct Time Activity
198,0,0.6004729866981506,Analysis Learning Product
199,15,0.3073892295360565,Code Snippets Generative
200,12,0.28135865926742554,Training Access Environment
201,23,0.7587319016456604,Search User Document
202,34,0.5026430487632751,Learning Machine Outputs
203,3,0.2273290455341339,Research Text Development
204,4,0.2893317639827728,Image Images Time
205,23,0.32922929525375366,Search User Document
206,5,0.1718217134475708,Detection Time Identify
207,8,0.27229878306388855,Provides External Capabilities
208,17,0.03356393799185753,FAA Development Operational
209,20,0.4409213662147522,Enterprise Internal Language
210,20,0.6661674976348877,Enterprise Internal Language
211,29,0.5543103218078613,Aircraft Assisted Research
212,34,0.22810032963752747,Learning Machine Outputs
213,10,0.4386677145957947,Financial Policy Copilot
214,23,0.3844687342643738,Search User Document
215,4,0.402485728263855,Image Images Time
216,34,0.6192209124565125,Learning Machine Outputs
217,27,0.2821371853351593,FOIA Request Act
218,0,0.5304854512214661,Analysis Learning Product
219,33,0.3400062322616577,Track Description Policy
220,34,0.3549154996871948,Learning Machine Outputs
221,34,0.6025272607803345,Learning Machine Outputs
222,34,0.19883406162261963,Learning Machine Outputs
223,5,0.39266377687454224,Detection Time Identify
224,31,0.2238335907459259,Analytics Department Operations
225,34,0.708903968334198,Learning Machine Outputs
226,36,0.38180333375930786,Technology Based Non
227,37,0.2549073398113251,Translation Language Metric
228,35,0.3384650647640228,Advanced Match Platform
229,34,0.5040759444236755,Learning Machine Outputs
230,35,0.5023712515830994,Advanced Match Platform
231,20,0.3722802400588989,Enterprise Internal Language
232,24,0.5582965016365051,Response Human Tool
233,4,0.3697407841682434,Image Images Time
234,12,0.25722867250442505,Training Access Environment
